,商品名称,分类,用户id,用户名,会员,评论内容,评论时间,商家回复,追评内容,追评时间,追评商家回复,score
77,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:绿茶馅饼300g,1028025458851,d***n,True,买来送朋友的,2018-12-10 22:15:34,,,,,cannotDecide
90,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:红豆馅饼300g,1026646650893,陈***真,True,红豆，绿豆，香芋，椰汁都吃了，还是觉着红豆味最足。,2018-11-29 20:20:55,,,,,cannotDecide
114,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:玉米馅饼300g,1026928100695,l***4,True,淘宝下单，机场提货,2018-12-03 08:26:53,,,,,cannotDecide
119,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:红豆馅饼300g,1026775573698,若***e,False,我觉得nice.,2018-12-01 13:34:00,,,,,cannotDecide
244,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:南瓜馅饼300g,1026968380939,s***7,False,帮朋友买的，不知道好不好吃,2018-12-03 13:03:48,您好，亲，感谢您的订购及对产品的喜爱~因个人口感不同，每人的体验不同的呢，有买家反馈说配茶食用口感更好一些哈，亲可以尝试一下哦。,,,,cannotDecide
245,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:红豆馅饼300g,1026968380940,s***7,False,帮朋友买的，不知道好不好吃,2018-12-03 13:03:48,您好，亲，感谢您的订购及对产品的喜爱~因个人口感不同，每人的体验不同的呢，有买家反馈说配茶食用口感更好一些哈，亲可以尝试一下哦。,,,,cannotDecide
361,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:玉米馅饼300g,1024600368190,蔡***燕,True,玉米的吃起来感觉像绿豆饼,2018-11-16 20:36:20,,,,,cannotDecide
374,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:绿豆馅饼300g,1018023739814,l***d,False,不知道好不好吃，帮同事带的,2018-09-22 14:56:52,您好，亲，感谢您的订购及对产品的喜爱~因个人口感不同，每人的体验不同的呢，有买家反馈说配茶食用口感更好一些哈，亲可以尝试一下哦。,,,,cannotDecide
474,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:椰子馅饼210g,1014145434750,t***0,True,建议现场买吧，各地糕点一样,2018-08-19 20:34:39,,,,,cannotDecide
483,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:南瓜馅饼300g,1016181136079,暮***梦,False,独立包装 跟当地买的一样,2018-09-08 14:29:00,,,,,cannotDecide
563,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:红豆馅饼300g,1014966526435,丽***瑀,False,解馋就买了,2018-08-27 15:26:54,,,,,cannotDecide
620,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:红豆馅饼300g,1012582506271,y***5,False,独在异乡为异客，突然想家乡的馅饼。然后淘宝买了几盒解思乡之情。,2018-08-05 10:38:33,,,,,cannotDecide
711,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:绿茶馅饼300g,1012326928474,我***已,False,帮别人买的,2018-08-03 17:58:46,,,,,cannotDecide
860,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:绿豆馅饼300g,1009302481640,风***6,False,还是原来的味道,2018-07-06 20:52:00,,,,,cannotDecide
991,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:绿豆馅饼300g,1012839333181,y***3,False,？。，，让，。？？！？。，。？！。,2018-08-08 08:16:12,,,,,cannotDecide
1093,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:绿豆馅饼300g,1028025458850,d***n,True,买来送朋友的,2018-12-10 22:15:34,,,,,cannotDecide
1368,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:香芋馅饼270g,1022256777795,s***e,False,谢谢！,2018-10-28 22:41:41,,,,,cannotDecide
1391,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:南瓜馅饼300g,1012582506269,y***5,False,独在异乡为异客，突然想家乡的馅饼。然后淘宝买了几盒解思乡之情。,2018-08-05 10:38:33,,,,,cannotDecide
1393,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:玉米馅饼300g,1022256777793,s***e,False,谢谢！,2018-10-28 22:41:41,,,,,cannotDecide
1409,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:红豆馅饼300g,1022256777792,s***e,False,谢谢！,2018-10-28 22:41:41,,,,,cannotDecide
1419,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:香芋馅饼270g,1026928100694,l***4,True,淘宝下单，机场提货,2018-12-03 08:26:53,,,,,cannotDecide
1420,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:香芋馅饼270g,1011293011904,默***团,False,。。。,2018-07-24 11:23:32,,,,,cannotDecide
1443,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:南瓜馅饼300g,1024142544819,君***花,True,过得去,2018-11-13 20:24:41,,,,,cannotDecide
1540,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:绿豆馅饼300g,1029114586847,z***0,False,👍,2018-12-17 21:17:45,,,,,cannotDecide
1583,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:椰子馅饼210g,1022256777794,s***e,False,谢谢！,2018-10-28 22:41:41,,,,,cannotDecide
1605,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:绿豆馅饼300g,1012582506270,y***5,False,独在异乡为异客，突然想家乡的馅饼。然后淘宝买了几盒解思乡之情。,2018-08-05 10:38:33,,,,,cannotDecide
1717,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:绿豆馅饼300g,1022256777797,s***e,False,谢谢！,2018-10-28 22:41:41,,,,,cannotDecide
1745,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:绿茶馅饼300g,1022256777798,s***e,False,谢谢！,2018-10-28 22:41:41,,,,,cannotDecide
1796,南普陀素饼馅饼300g 绿豆饼椰子饼南瓜饼红豆馅饼厦门特产零食,口味:南瓜馅饼300g,1022256777796,s***e,False,谢谢！,2018-10-28 22:41:41,,,,,cannotDecide
